id,familia,ticker,arquitectura,rep,reintentos_vacios,reintentos_proveedor,respuesta,cifra_dada,cifra_esperada,ratio_cifra,unidad,ejercicio,fuente,cita_dada,chunk_id,herramientas,n_llamadas,tokens_in,tokens_out,coste_usd,latencia_s,sin_respuesta,corrigio_cifra,corrigio_cita,reintentos_esquema,limite_alcanzado,n_busquedas,busquedas_con_ticker,busquedas_con_item,uso_read_section,busquedas_reescritas,cita,cifra,trayectoria,honestidad,acierto,obsoleta,recall5,pos_ancla
gX-001,numerica,NVDA,a4_comparativas,2,0,0,Los ingresos de NVIDIA en el ejercicio fiscal 2025 ascendieron a 130.497.000.000 USD (130.497 millones de dólares).,130497000000.0,130497000000.0,1.0,USD,2025,xbrl,,,get_xbrl_fact,1,3658,476,0.0045285,13.23987750010565,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-002,numerica,AAPL,a4_comparativas,2,0,0,El beneficio neto de Apple en el ejercicio fiscal 2025 fue de 112.010.000.000 USD.,112010000000.0,112010000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact,2,5962,595,0.00670275,17.962809399701655,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-003,numerica,GOOGL,a4_comparativas,2,0,0,Los ingresos totales de Alphabet en el ejercicio fiscal 2025 fueron de 402.836.000.000 USD.,402836000000.0,402836000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact,2,5962,473,0.00624525,23.65255849994719,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-004,numerica,META,a4_comparativas,2,0,0,"En el ejercicio fiscal 2025, Meta Platforms, Inc. gastó 57.372.000.000 USD en investigación y desarrollo (Research and Development).",57372000000.0,57372000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact,2,6017,694,0.00711525,33.44257159996778,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-005,numerica,AMZN,a4_comparativas,2,0,0,"En el ejercicio fiscal 2025, Amazon generó 139.514.000.000 USD de efectivo neto procedente de sus actividades de explotación (Net Cash Provided by Operating Activities).",139514000000.0,139514000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact,2,6016,475,0.00629325,9.1035912996158,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-006,numerica,MSFT,a4_comparativas,2,0,0,"Al cierre del ejercicio fiscal 2024 (30 de junio de 2024), el pasivo total de Microsoft ascendía a 243.686.000.000 USD.",243686000000.0,243686000000.0,1.0,USD,2024,xbrl,,,get_xbrl_fact,1,3635,423,0.0043125,6.381379199679941,False,False,False,0,False,0,0,0,False,0,,True,True,,True,False,,
gX-007,extractiva,NVDA,a4_comparativas,2,0,0,"En su informe 10-K de FY2025, NVIDIA describe el mercado chino de soluciones de centros de datos como altamente competitivo («remains competitive»), caracterizado por los siguientes factores:

1. Perjuicio por controles de exportación: Su posición competitiva se ha visto perjudicada por las restricciones a la exportación de EE. UU., las cuales benefician a competidores que ofrecen alternativas no sujetas a tales limitaciones.
2. Impulso a competidores locales: El gobierno chino fomenta activamente que los clientes adquieran productos de competidores basados en China y promueve normativas y estándares locales de computación.
3. Adaptación de producto y peso relativo: Aunque NVIDIA desarrolló y lanzó productos específicos para China que no requieren licencia de exportación (lo que permitió un crecimiento de los ingresos de Data Center en China en FY2025), la cuota de China sobre los ingresos totales de Data Center permanece muy por debajo de los niveles anteriores a octubre de 2023.",,,,,2025,texto,The market in China for datacenter solutions remains competitive.,NVDA-2025-7-0004,list_available → search_filings → search_filings → search_filings → search_filings,5,26554,2397,0.02890425,111.5645262002945,False,False,False,0,False,4,4,4,False,4,True,,True,,True,False,False,15.0
gX-008,extractiva,GOOGL,a4_comparativas,2,0,0,"En los factores de riesgo de su 10-K de FY2025, Alphabet menciona dos demandas antimonopolio principales interpuestas por el Departamento de Justicia de EE. UU. (DOJ) junto con varios fiscales generales estatales:

1. **Búsqueda y publicidad en búsquedas (Search and Search advertising):** Demanda en el Tribunal de Distrito del Distrito de Columbia. En agosto de 2024 el tribunal falló contra Google y en diciembre de 2025 dictó una sentencia final imponiendo remedios (restricciones de distribución, obligación de compartir ciertos datos de búsqueda y ofrecer servicios de sindicación a competidores). Tanto Alphabet como el DOJ apelaron a principios de 2026.

2. **Tecnología publicitaria (Ad Tech):** Demanda presentada en enero de 2023 en el Distrito Este de Virginia. En abril de 2025 el juez emitió un fallo mixto (determinando que las herramientas para editores excluían indebidamente a rivales, aunque las herramientas de anunciantes y adquisiciones de DoubleClick y AdMeld no fueron anticompetitivas). El DOJ propuso remedios estructurales y el caso quedó a la espera de sentencia definitiva sobre remedios para proceder a la apelación.",,,,,2025,texto,"In January 2023, the DOJ and a number of state Attorneys General sued in the Eastern District of Virginia alleging similar antitrust violations relating to our advertising technology.",GOOGL-2025-1A-0026,list_available → search_filings,2,8691,1326,0.01149075,26.361957599874586,False,False,False,0,False,1,1,1,False,1,True,,True,,True,False,True,3.0
gX-009,extractiva,META,a4_comparativas,2,0,0,"En su informe 10-K para el ejercicio 2025, Meta señala que la Ley de Mercados Digitales (DMA) de la Unión Europea impone restricciones y requisitos específicos a empresas designadas como guardianes de acceso (gatekeepers) en áreas tales como la combinación de datos entre diferentes servicios, fusiones y adquisiciones, y el diseño de productos. Asimismo, detalla que la DMA afecta el uso de señales de datos para publicidad dirigida, derivando en procedimientos de la Comisión Europea contra su modelo de 'suscripción sin anuncios' y obligando a implementar modificaciones a sus productos y prácticas comerciales (como los anuncios menos personalizados o LPA).",,,,,2025,texto,"For example, the DMA in the European Union imposes restrictions and requirements on companies like ours, including in areas such as the combination of data across services, mergers and acquisitions, and product design.",META-2025-1A-0060,list_available → search_filings → search_filings → search_filings,4,26225,2007,0.027195,104.11924510030076,False,False,False,0,False,3,3,3,False,3,True,,True,,True,False,True,1.0
gX-010,extractiva,AAPL,a4_comparativas,2,0,0,"En su informe 10-K de FY2025 (Item 1A), Apple advierte que muchas de sus operaciones, tiendas e instalaciones, junto con operaciones críticas de sus proveedores y fabricantes por contrato, están ubicadas en zonas propensas a terremotos y otros desastres naturales. Asimismo, destaca que el cambio climático global está provocando que ciertos desastres naturales y fenómenos meteorológicos extremos ocurran con mayor frecuencia o intensidad, lo que puede impedir o dificultar la fabricación y entrega de productos, generar retrasos e ineficiencias en la cadena de suministro, provocar interrupciones en sus servicios e incrementar los costes.",,,,,2025,texto,"Many of the Company’s operations, retail stores and facilities, as well as critical business operations of the Company’s suppliers and contract manufacturers, are in locations that are prone to earthquakes and other natural disasters.",AAPL-2025-1A-0003,list_available → search_filings,2,8080,1004,0.009825,42.16114189988002,False,False,False,0,False,1,1,1,False,1,True,,True,,True,False,True,5.0
